name,State, Domestic Cruelty,Assualt to Outrage Modesty,Kidnappings,Rape,Sex ratio,Literacy rate
ANDHRA PRADESH,1, 21251,4834,1764,1664,993,67.02
ARUNACHAL PRADESH,2, 26,77,49,47,938,65.38
ASSAM,3, 5435,2250,2689,1626,958,72.19
BIHAR,4, 6963,278,4639,1327,918,61.8
CHHATTISGARH,5, 2581,1891,441,1214,991,70.28
GOA,6, 54,42,12,61,973,88.7
GUJARAT, 7, 19982,1118,1939,647,919,78.03
HARYANA,8, 3606,698,660,940,879,75.55
HIMACHAL PRADESH,9, 505,317,131,259,972,82.8
JAMMU & KASHMIR,10, 634,2814,884,388,  889 ,67.16
JHARKHAND,11, 2207,355,1000,780,948,66.41
KARNATAKA,12, 6317,3982,1035,842,973,75.36
KERALA,13, 6923,4167,253,1259,1084,94
MADHYA PRADESH,14, 11104,8085,1648,4822,931,69.32
MAHARASHTRA,15, 27379,4885,1775,2591,929,82.34
MANIPUR,16, 21,34,101,46,992,79.21
MEGHALAYA,17, 14,45,6,182,989,74.43
MIZORAM,18,7,82,3,122,976,91.33
NAGALAND,19, 0,16,7,26,931,79.55
ODISHA,20, 4699,6060,1347,1666,979,72.87
PUNJAB,21,2288,413,731,895,895,75.84
RAJASTHAN,22,9949,2658,1565,1807,928,66.11
SIKKIM,23,6,17,8,29,890,81.42
TAMIL NADU,24,4019,2091,1557,962,996,80.09
TRIPURA,25,1147,375,120,202,960,87.22
UTTAR PRADESH,26,36115,5143,20565,3593,912,67.68
UTTARAKHAND,27,484,199,242,184,963,78.82
WEST BENGAL,28, 22911,2879,3352,1963,950,76.26
A & N ISLANDS,29,4,20,7,17,876,86.63
CHANDIGARH,30, 86,54,48,34,818,86.05
D & N HAVELI,31, 0,2,11,5,774,76.24
DAMAN & DIU,32, 11,0,0,10,618,87.1
DELHI,33, 1026,939,478,892,868,86.21
LAKSHADWEEP,34,1,0,0,0,946,91.85
PUDUCHERRY,35,7,7,16,15,1037,85.85
